risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
1,1,0,1.870833333,0,16.0
0,1,0,3.100833333,0,0.074015603
0,1,0,3.1075,0,4.0
1,1,0,3.126944444,0,10.0
1,1,0,3.15,0,15.0
1,1,0,3.155833333,0,24.0
1,1,0,3.166388889,0,13.0
1,1,0,4.684444444,0,15.0
0,1,0,4.691388889,0,6.0
0,1,0,4.693611111,0,3.0
0,1,0,4.695555556,0,5.0
0,1,0,4.7025,0,6.0
1,1,0,4.717777778,0,10.0
1,1,0,4.72,0,1.0
1,1,0,8.8725,0,2.0
0,1,0,4.2375,0,5.0
0,1,0,4.248611111,0,1.0
0,1,0,2.868888889,0,1.0
1,1,0,2.876111111,0,2.0
1,1,0,2.883888889,0,26.0
1,1,0,3.009722222,0,5.0
1,1,0,3.021666667,0,15.0
1,1,0,3.033611111,0,24.0
0,1,0,11.26277778,0,2.0
0,1,0,11.3325,0,2.0
0,1,0,11.46972222,0,1.0
0,1,0,6.591111111,1,0.049410419
0,1,0,6.591666667,1,1.0
1,1,0,6.601388889,1,6.0
0,1,0,6.606666667,1,3.0
1,1,0,6.611111111,1,8.0
1,1,0,6.621666667,1,31.0
0,1,0,6.639444444,1,0.010695699
0,1,0,6.651944444,1,2.0
0,1,0,6.656111111,1,1.0
0,1,0,6.658055556,1,9.0
0,1,0,6.686388889,1,6.0
0,1,0,11.1975,1,11.0
0,1,0,9.108333333,1,2.0
1,1,0,2.522777778,1,3.0
0,1,0,5.168333333,1,1.0
0,1,0,6.673888889,1,4.0
1,1,0,11.32222222,1,1.0
0,1,0,2.770833333,1,1.0
1,1,0,2.895,1,1.0
1,1,0,2.915,1,0.035319187
1,1,0,2.916666667,1,1.0
1,1,0,2.919722222,1,7.0
0,1,0,2.921388889,1,1.0
0,1,0,2.926388889,1,0.034803066
1,1,0,2.930277778,1,1.0
0,1,0,2.931944444,1,1.0
0,1,0,2.9425,1,2.0
0,1,0,2.943611111,1,1.0
0,1,0,2.946666667,1,4.0
0,1,0,2.968333333,1,4.0
1,1,0,2.997222222,1,3.0
0,1,0,8.381666667,1,22.0
1,1,0,2.813333333,1,1.0
1,1,0,8.333055556,2,2.0
1,1,0,9.676111111,2,1.0
1,1,0,8.713055556,2,3.0
1,1,0,7.375277778,2,4.0
0,1,0,7.395833333,2,3.0
0,1,0,7.471944444,2,0.089216347
1,1,0,7.4825,2,2.0
0,1,0,7.485,2,0.041390374
1,1,0,7.489444444,2,0.090143902
0,1,0,7.495277778,2,20.0
1,1,0,7.508333333,2,2.0
1,1,0,7.386111111,2,7.0
1,1,0,7.387222222,2,21.0
